# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,Infinity,0.0,0.0,0.0
 0.15430007128967896,0.011904256000000002,0.07715003564483947,0.4999999999999999,0.0,0.0,Infinity,0.0,0.0,0.0
 0.21733866660122914,0.023618048000000114,0.18581936894545403,1.7238539780835465,0.0,0.0,Infinity,0.0,0.0,0.0
 0.26511473742513814,0.03514291199999997,0.24122670201318372,1.1597298001325322,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3048946834564351,0.046480383999999875,0.2850047104407864,1.1005044700955657,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3395055227827675,0.05763200000000013,0.32220010311960123,1.074674680036322,0.0,0.0,Infinity,0.0,0.0,0.0
 0.37040328292281627,0.06859929599999992,0.35495440285279173,1.060086542996214,0.0,0.0,Infinity,0.0,0.0,0.0
 0.39845654217241816,0.079383808,0.3844299125476169,1.0506982248504135,0.0,0.0,Infinity,0.0,0.0,0.0
 0.42423359602935745,0.089987072,0.41134506910088786,1.0441517755538734,0.0,0.0,Infinity,0.0,0.0,0.0
 0.44813083803728626,0.10041062400000023,0.43618221703332205,1.0393311464224002,0.0,0.0,Infinity,0.0,0.0,0.0
 0.47043809369565326,0.11065600000000009,0.4592844658664693,1.0356383226585777,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4913750828033508,0.12072473599999989,0.4809065882495017,1.0327235817820137,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5111132320728944,0.13061836800000015,0.5012441574381221,1.030368597931404,0.0,0.0,Infinity,0.0,0.0,0.0
 0.52978945251864,0.14033843200000007,0.5204513422957663,1.028429971333924,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5475152308383763,0.14988646400000016,0.538652341678508,1.0268096020627893,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5643828487826329,0.15926400000000007,0.5559490398105048,1.0254381021172192,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5804697683773035,0.1684725760000001,0.5724263085799677,1.0242650044028083,0.0,0.0,Infinity,0.0,0.0,0.0
 0.595841804508546,0.1775137280000001,0.5881557864429255,1.0232527251864114,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6105554716813206,0.18638899199999992,0.6031986380949346,1.0223727012014694,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6246597537860114,0.1950999040000001,0.6176076127336644,1.021602838895129,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6381974616057323,0.20364800000000005,0.6314286076958735,1.0209257834679721,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6512062898959132,0.21203481600000007,0.6447018757508243,1.020327715830446,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6637196516602477,0.22026188800000024,0.6574629707780785,1.019797498672643,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6757673445794792,0.2283307520000002,0.6697434981198602,1.0193260588654796,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6873760891971735,0.23624294400000023,0.6815717168883253,1.0189059332424455,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6985699678629197,0.24400000000000022,0.692973028530045,1.0185309294631129,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7093707859786733,0.2516034560000002,0.7039703769207933,1.0181958693210484,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7197983717680949,0.2590548480000001,0.7145845788733813,1.0178963920254402,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7298708269276152,0.2663557120000002,0.7248345993478517,1.0176288017308497,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7396047376808782,0.2735075840000001,0.7347377823042428,1.0173899481327564,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7490153536477078,0.2805120000000001,0.7443100456642898,1.0171771320588598,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7581167403507199,0.2873704960000001,0.7535660469992105,1.0169880301709857,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7669219099751948,0.29408460800000014,0.76251932516296,1.0168206344217163,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7754429340705873,0.3006558720000003,0.771182422022893,1.0166732030035466,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7836910411635447,0.30708582400000006,0.7795669876170617,1.0165442203493888,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7916767016907854,0.3133760000000001,0.7876838714271631,1.0164323642876028,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7994097022178307,0.31952793600000007,0.7955432019543094,1.0163364789203309,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8068992105585437,0.32554316800000027,0.8031544563881902,1.016255552117609,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8141538331298336,0.3314232320000001,0.8105265218441825,1.0161886967307274,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8211816656501781,0.33716966400000015,0.8176677493900054,1.0161351348584498,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8279903381078798,0.3427840000000002,0.8245860018790248,1.0160941845856775,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8345870547761935,0.34826777600000014,0.83128869644203,1.0160652488230266,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8409786299306311,0.35362252800000027,0.8377828423534096,1.0160478058168299,0.0,0.0,Infinity,0.0,0.0,0.0
