# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-90.58433397940426,-90.0,7.863466361063118,0.12717037933189593,0.0,0.0
 0.03310284284561125,0.002739495511153089,0.0827571071140281,2.4999999999999996,-90.58433397940426,-90.06896583759575,7.863466361063118,0.12717037933189593,0.0,0.0
 0.04645965821085678,0.005396249602674079,0.1989062526411701,8.695871160228986,-91.79997921249299,-90.13793167519152,8.543613941887667,0.1170464872127702,-91.0131045347718,-6813.982378732894
 0.05646868321462616,0.007971780459984507,0.2573208535637074,5.836192925938183,-93.0806416959542,-90.20689751278728,9.293834269246432,0.10759821738042276,-127.95077272550567,-3690.4361990127104
 0.06470762106610942,0.01046769056008802,0.3029407607018391,5.537110239266923,-94.4309377301069,-90.27586335038303,10.121249246697557,0.09880203279514019,-163.8920038594075,-4362.362210006397
 0.07179324526424215,0.012885675163929071,0.341252165825879,5.406920273041862,-95.85577019483092,-90.34482918797879,11.033365898054823,0.09063417358217944,-201.08778350106329,-5249.47112654633
 0.07804493986786662,0.015227531597447294,0.374595462830272,5.333481418791951,-97.36031662330045,-90.41379502557456,12.03793855699138,0.08307070145487835,-240.66217623574644,-6330.186492433517
 0.08365445436849667,0.01749516933922723,0.40424848559090837,5.286201284853761,-98.95000489640846,-90.48276086317031,13.14275438013327,0.07608755144291601,-283.39141879916036,-7617.279990739785
 0.0887482301969884,0.01969062090774411,0.43100671141371283,5.253121991182638,-100.63047265538977,-90.55172670076607,14.355318742013582,0.06966059186643547,-329.90610807442715,-9131.671836653994
 0.0934153167426771,0.021816053505336726,0.4554088673491639,5.228562979615831,-102.40750577156548,-90.62069253836182,15.68241394190362,0.06376569345156657,-380.75855221011307,-10895.971959779004
 0.09772160728587916,0.023873781326338977,0.47784231007138983,5.209458697030909,-104.28695048861256,-90.68965837595759,17.129503382774832,0.05837880863525703,-436.44168877875103,-12930.650175599458
 0.1017178025131596,0.025866278370265346,0.49859852449759773,5.193994098314682,-106.27459328416396,-90.75862421355335,18.699955870751594,0.0534760620245147,-497.38380697282975,-15250.035278069254
 0.10556839833813537,0.02779619151482247,0.5011985760851085,0.6752335757095888,-108.37600228054161,-90.8275900511491,20.39407342628676,0.04903385307572047,-545.7360605720977,-12557.083577986805
 0.10943116242417175,0.029666353495917924,0.48415122938932736,-4.413250800742956,-110.59632443685805,-90.89655588874487,22.20792437274863,0.04502897178572443,-574.8013875200795,-7524.489277781932
 0.11333238132802945,0.031479795312788016,0.4648398004728423,-4.950101338171281,-112.94003414617568,-90.96552172634063,24.13201477665864,0.041438728148270335,-600.7634452401696,-6654.857971291425
 0.11727646949469064,0.033239757429112345,0.44622788384930956,-4.718940306876645,-115.41063165642015,-91.03448756393638,26.14987842337281,0.03824109557259731,-626.405243961855,-6501.324929404906
 0.12126201044329973,0.03494969898381253,0.42903625298265696,-4.313499996193061,-118.01029437538838,-91.10345340153214,28.236728133928725,0.03541486801363571,-652.273493733764,-6490.52414853163
 0.12528702320305285,0.036613304073093836,0.41331672433837063,-3.905460574303999,-120.7394909052666,-91.1724192391279,30.35838403794155,0.03293982969416988,-678.0591001270847,-6406.341527946435
 0.12934890804605265,0.038234484041244236,0.3991201205382084,-3.4950778638218902,-123.59657657708223,-91.24138507672366,32.47076350272355,0.03079693521577104,-703.3891363856566,-6236.030128285219
 0.13344440584221873,0.03981737465289205,0.38649529078726497,-3.0826117798822663,-126.5773997346041,-91.31035091431941,34.52025881126693,0.028968496599846294,-727.8292666430708,-5967.560348901532
 0.1375695775321418,0.04136632705052909,0.3754879830628154,-2.668327175651407,-129.67495863250667,-91.37931675191518,36.44531065918772,0.027438372232612702,-750.8921157073905,-5590.761015028173
 0.1417198101552372,0.04288589156469647,0.36613960039522564,-2.2524960686703257,-132.87915722275378,-91.44828258951094,38.17937643013893,0.026192151195287637,-772.0527693836292,-5098.666893629733
 0.14588985484836978,0.044380793766837734,0.35848589455243507,-1.8354013939934681,-136.1767112040603,-91.5172484271067,39.65527664929734,0.025217325019411235,-790.771855931689,-4488.941468394146
 0.15007390008546242,0.04585590264114086,0.35255567058068643,-1.4173422216317504,-139.55125035089398,-91.58621426470245,40.81059981946615,0.024503437940723734,-806.5254928215228,-3765.168872978198
 0.15426568022127288,0.047316191373015674,0.3483695910955687,-0.9986400406252183,-142.98364723365071,-91.65518010229822,41.59352026266275,0.024042206422659296,-818.8399132468063,-2937.75437315547
 0.1584586154853244,0.04876669194108657,0.34593917547616027,-0.5796453954931783,-146.45257630925008,-91.72414593989397,41.968138919497505,0.023827599358603468,-827.3271245899094,-2024.1694203745592
 0.16264597557483543,0.050212445356717504,0.3452660828602766,-0.16074390582498513,-149.9352746039056,-91.79311177748973,41.918400597059915,0.023855872021752145,-831.7169338694761,-1048.347690604082
 0.16682105570400926,0.05165844990630854,0.34634174790728345,0.25763937786259894,-153.40844248816953,-91.86207761508548,41.4498331834664,0.024125549446092392,-831.8805332608504,-39.18473090639752
 0.1709773521086701,0.053109610017288145,0.3491474066556679,0.6750381770747177,-156.84919839182336,-91.93104345268125,40.58876736393818,0.024637358189114854,-827.8418016086184,971.7140595898954
 0.17510872402139122,0.05457068833235956,0.3536545113676496,1.0909462539800947,-160.23599143161283,-92.000009290277,39.379212087772444,0.025394108896112422,-819.7744263500014,1952.7109708463868
